2021년 04월 08일 21시,○,서울,강남구,강남구보건소,서울 강남구 삼성동(삼성2동) 8 강남구보건소,09:00 ~ 20:00,09:00 ~ 18:00,09:00 ~ 18:00,02-3423-5555
2021년 04월 08일 21시,○,서울,강남구,삼성서울병원,서울 강남구 일원로81 삼성서울병원,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,02-3410-0543
2021년 04월 08일 21시,○,서울,강남구,강남세브란스병원,서울 강남구 언주로211 강남세브란스병원,09:00 ~ 17:00,09:00 ~ 12:30,미운영,02-1599-6114
2021년 04월 08일 21시,○,서울,강동구,강동구보건소,서울 강동구 성내동 541-2,09:00 ~ 18:00,09:00 ~ 16:00,09:00 ~ 16:00,02-3425-6713
2021년 04월 08일 21시,○,서울,강동구,중앙보훈병원,서울 강동구 진황도로 61길 53,09:00 ~ 17:30,미운영,미운영,02-2225-1114
2021년 04월 08일 21시,○,서울,강동구,강동경희대병원,서울시 강동구 동남로 892,09:00 ~ 17:00,09:00 ~ 12:00,미운영,02-440-7000
2021년 04월 08일 21시,○,서울,강동구,강동성심병원,서울시 강동구 성안로 150,08:30 ~ 16:30,08:30 ~ 11:30,미운영,1588-4100
2021년 04월 08일 21시,○,서울,강북구,강북구보건소,서울 강북구 한천로 897 강북구보건소,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,02-901-7704.7706
2021년 04월 08일 21시,○,서울,강서구,강서구보건소,서울 강서구 염창동 275-12 강서보건소,09:00 ~ 17:00,09:00 ~ 14:00,09:00 ~ 14:00,02-2600-5465
2021년 04월 08일 21시,○,서울,관악구,관악구보건소,서울 관악구 청룡동 1570-1 ,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 13:00,02-879-7133/7136
2021년 04월 08일 21시,○,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로 1636,08:30 ~ 17:00,08:30 ~ 12:30,미운영,1877-8875
2021년 04월 08일 21시,○,서울,관악구,신림임시선별진료소,서울특별시 관악구  난곡로58길 13,10:00 ~ 17:00,10:00 ~ 15:00,미운영,02-879-7241
2021년 04월 08일 21시,○,서울,광진구,광진구보건소,서울특별시 광진구 자양1동 777,09:00 ~ 18:00,09:00 ~ 16:00,09:00 ~ 16:00,02-450-1937
2021년 04월 08일 21시,○,서울,구로구,고대구로병원,구로동로 148,09:00 ~ 17:30,미운영,미운영,02-2626-1554
2021년 04월 08일 21시,○,서울,구로구,구로성심병원,경인로 427,09:00 ~ 17:30,09:00 ~ 12:30,미운영,02-2067-1500
2021년 04월 08일 21시,○,서울,금천구,금천구보건소,서울 금천구 시흥제1동 1020 금천구보건소 ,09:00 ~ 18:00,09:00 ~ 16:00,09:00 ~ 16:00,02-2627-2717
2021년 04월 08일 21시,○,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,02-2219-7231
2021년 04월 08일 21시,○,서울,노원구,노원을지대학교병원,서울 노원구 한글비석로 68,09:00 ~ 17:00,미운영,미운영,02-970-8000
2021년 04월 08일 21시,○,서울,노원구,상계백병원,서울 노원구 동일로 1342,09:00 ~ 16:00,미운영,미운영,02-950-1114
2021년 04월 08일 21시,○,서울,도봉구,도봉구보건소,서울 도봉구 쌍문동 565,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2091-4434
2021년 04월 08일 21시,○,서울,동대문구,동대문구보건소,서울 동대문구 용두동 39-9 ,09:00 ~ 18:00,09:00 ~ 15:00,09:00 ~ 15:00,02-2127-4283
2021년 04월 08일 21시,○,서울,동대문구,삼육서울병원,서울 동대문구 망우로 82,09:00 ~ 16:30,미운영,09:00 ~ 16:30,1577-3675
2021년 04월 08일 21시,○,서울,동대문구,서울특별시동부병원,서울 동대문구 무학로 124 ,09:00 ~ 17:30,09:00 ~ 17:30,09:00 ~ 17:30,920-9435/9119
2021년 04월 08일 21시,○,서울,동대문구,서울성심병원,서울 동대문구 왕산로 259,09:00 ~ 16:00,미운영,미운영,966-1616
2021년 04월 08일 21시,○,서울,동대문구,경희의료원,서울 동대문구 경희대로 23,08:30 ~ 17:00,08:30 ~ 12:00,미운영,958-8114
2021년 04월 08일 21시,○,서울,동작구,동작구보건소,서울 동작구 상도2동 176-3,09:00 ~ 18:00,09:00 ~ 15:00,09:00 ~ 15:00,02-820-9465
2021년 04월 08일 21시,○,서울,동작구,서울특별시 보라매병원,동작구 보라매로5길 20,09:00 ~ 17:30,09:00 ~ 12:30,09:00 ~ 12:30,02-870-2114
2021년 04월 08일 21시,○,서울,동작구,서울특별시 중앙대학교 병원,서울특별시 동작구 흑석로 102,08:30 ~ 17:00,08:30 ~ 12:00,미운영,1800-1114
2021년 04월 08일 21시,○,서울,마포구,마포구보건소,서울 마포구 성산동 370,09:00 ~ 18:00,09:00 ~ 13:00,09:00 ~ 13:00,02-3153-9037
2021년 04월 08일 21시,○,서울,서대문구,세브란스병원,연세로 50-1,06:00 ~ 06:00,06:00 ~ 06:00,06:00 ~ 06:00,1599-1004
2021년 04월 08일 21시,○,서울,중구,서울중구보건소,서울 중구 신당동 50-5 중구보건소  ,09:00 ~ 18:00,09:00 ~ 16:00,09:00 ~ 16:00,02-3396-5181
2021년 04월 08일 21시,○,서울,중구,인제대학교서울백병원,서울 중구 마른내로 9 백병원,00:00 ~ 00:00,00:00 ~ 00:00,00:00 ~ 00:00,02-2270-0114
